2018/01/04 16:52:37 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:37 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:40 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:40 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:41 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:41 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:41 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:42 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:42 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:42 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:42 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:42 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:42 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:43 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:43 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:43 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:43 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:43 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:43 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:43 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:57 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:53:43 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:53:43 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:53:46 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:53:46 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:53:48 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:53:48 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:53:49 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:53:49 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:54:17 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:54:17 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:54:23 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:54:24 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:54:29 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:54:29 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:54:30 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:54:30 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:54:31 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:54:31 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:54:31 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:54:31 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:54:32 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:54:32 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:54:32 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:54:32 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:54:36 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:54:36 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:54:38 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:54:38 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:54:38 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:54:38 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:55:09 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:55:12 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:55:12 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:53:12 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:53:17 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:53:17 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:53:31 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:53:31 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:53:52 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
